0b80a072-b734-4cd9-bf5b-6c8708b7c2f2;Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie
154a0276-f7ef-42a3-a8d6-752e46ffd139;Uniwersytet Przyrodniczy w Poznaniu
172797e4-f3c0-41a6-a5f9-56e180ce7787;Kujawsko-Pomorska Szkoła Wyższa w Bydgoszczy
1845b92b-07f4-40a3-9afb-27235ab69d60;Wyższa Szkoła Bankowa w Toruniu
1a43aa07-da9c-4574-826a-58b1969d80d3;Wrocławska Wyższa Szkoła Informatyki Stosowanej we Wrocławiu
1a88b2ad-f6fd-4e5a-b514-27766a21594d;Uniwersytet Warmińsko-Mazurski w Olsztynie
1c2de046-5c42-44fc-943c-50ac63cf38a5;Państwowa Uczelnia im. Stefana Batorego
1c5fb903-cc43-44b8-8331-af6cb635dea0;Uniwersytet Ekonomiczny w Katowicach
1cb32064-70d2-4de8-b43f-8e67b8a4286b;Akademia Finansów i Biznesu Vistula
2499ad34-4d7a-48d2-8a89-7695b0f00427;Akademia Morska w Szczecinie
26a44938-2d93-4220-85ea-ea68221f591d;Uniwersytet Artystyczny im. Magdaleny Abakanowicz w Poznaniu
2756d404-6a20-42f0-bc1a-f3d49c6a46f4;Uczelnia Państwowa im. Szymona Szymonowica w Zamościu
282be714-cb82-4078-850e-810d7003cb31;Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu
29483405-4eba-4db1-b6c9-321ff370bdf9;Wyższa Szkoła Bankowa  z siedzibą w Gdańsku
29b47066-4dca-4b1d-ba55-14e3ee02fb1a;Narodowe Centrum Badań Jądrowych
2a791fc9-d5ce-41b0-bb08-f24378cfcce1;Lotnicza Akademia Wojskowa
2caf49c8-c982-4873-9175-a3fb2ca1ce99;Politechnika Poznańska
2cb4e33a-bb7e-4220-9821-896895006f20;Wyższa Szkoła Informatyki i Zarządzania z siedzibą w Rzeszowie
3059e2c4-d76b-416b-8360-76fc2ced654d;Instytut Wysokich Ciśnień Polskiej Akademii Nauk
31e844c7-98a3-4fde-b497-814663f25206;Centrum Badań Kosmicznych Polskiej Akademii Nauk
3376d56e-d80c-4b7c-96dd-5bfe4714e1c2;Wyższa Szkoła Informatyki Stosowanej i Zarządzania w Warszawie
337ae4a1-4e95-456f-bc53-d8d54b952a53;Politechnika Lubelska
35bdf5a0-c4e2-4ae5-8ac3-0e449b57baba;Uniwersytet Ekonomiczny w Krakowie
399f9c59-9808-4097-8a56-2e137e38b932;Instytut Biocybernetyki i Inżynierii Biomedycznej im. Macieja Nałęcza Polskiej Akademii Nauk
3b7a72f4-78d9-4c46-8876-932d37791dd0;Akademia Marynarki Wojennej im. Bohaterów Westerplatte
3fa8a5bb-a2e7-455d-8a1e-1f71ed0d992a;Uniwersytet Mikołaja Kopernika w Toruniu
40ee9e13-51b8-4fde-b8b0-e9fb7505c3b9;Szkoła Główna Gospodarstwa Wiejskiego w Warszawie
41ade527-eee8-4133-87f6-f9acbecc3acf;Uniwersytet Zielonogórski
